한글명,역할,CHP_ID,중문명,성(원문),성(한자),성(수치),미(원문),미(한자),미(개수),귀경(원문),귀경(한자),귀경(개수),성미귀경_완전,출처파일
강황,primary,CHP01864,姜黄,Cold,寒,-2,Pungent|Bitter,辛|苦,2,Liver|Heart|Gallbladder,肝|心|膽,3,Y,D7_CHP_Medicinal_properties.tsv
당귀,primary,CHP00638,当归,Warm,溫,1,Sweet|Pungent,甘|辛,2,Spleen|Liver|Heart,脾|肝|心,3,Y,D7_CHP_Medicinal_properties.tsv
당귀,extra,CHP04223,土当归,Warm,溫,1,Pungent,辛,1,Liver|Kidney,肝|腎,2,Y,D7_CHP_Medicinal_properties.tsv
당귀,extra,CHP00801,东当归,Warm,溫,1,Sweet|Pungent,甘|辛,2,,,0,N,D7_CHP_Medicinal_properties.tsv
대추,primary,CHP00608,大枣,Warm,溫,1,Sweet,甘,1,Stomach|Spleen|Heart,胃|脾|心,3,Y,D7_CHP_Medicinal_properties.tsv
마,primary,CHP03591,山药,Neutral,平,0,Sweet,甘,1,Spleen|Lung|Kidney,脾|肺|腎,3,Y,D7_CHP_Medicinal_properties.tsv
모과,primary,CHP02863,木瓜,Warm,溫,1,Sour,酸,1,Stomach|Spleen|Liver,胃|脾|肝,3,Y,D7_CHP_Medicinal_properties.tsv
모과,extra,CHP02826,榠樝,Neutral,平,0,Sour|Astringent,酸|澀,2,Stomach|Lung|Liver,胃|肺|肝,3,Y,D7_CHP_Medicinal_properties.tsv
박하,primary,CHP00216,薄荷,Cool,涼,-1,Pungent,辛,1,Lung|Liver,肺|肝,2,Y,D7_CHP_Medicinal_properties.tsv
생강,primary,CHP03683,生姜,Warm,溫,1,Pungent,辛,1,Stomach|Spleen|Lung,胃|脾|肺,3,Y,D7_CHP_Medicinal_properties.tsv
생강,extra,CHP01146,干姜,Hot,熱,2,Pungent,辛,1,Stomach|Spleen|Lung|Heart,胃|脾|肺|心,4,Y,D7_CHP_Medicinal_properties.tsv
시나몬,primary,CHP03344,肉桂,Hot,熱,2,Sweet|Pungent,甘|辛,2,Spleen|Liver|Kidney|Heart,脾|肝|腎|心,4,Y,D7_CHP_Medicinal_properties.tsv
시나몬,extra,CHP01326,桂枝,Warm,溫,1,Sweet|Pungent,甘|辛,2,Lung|Heart|Bladder,肺|心|膀胱,3,Y,D7_CHP_Medicinal_properties.tsv
연꽃,primary,CHP02312,莲子,Neutral,平,0,Sweet|Astringent,甘|澀,2,Spleen|Kidney|Heart,脾|腎|心,3,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP02314,莲子心,Cold,寒,-2,Bitter,苦,1,Kidney|Heart,腎|心,2,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP02309,莲须,Neutral,平,0,Sweet|Astringent,甘|澀,2,Kidney|Heart,腎|心,2,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP02304,莲房,Neutral,平,0,Bitter|Astringent,苦|澀,2,Liver,肝,1,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP02305,莲花,Neutral,平,0,Sweet|Bitter,甘|苦,2,Liver|Heart,肝|心,2,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP02311,莲衣,Neutral,平,0,Bitter|Astringent,苦|澀,2,Spleen|Heart,脾|心,2,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP01364,荷叶,Neutral,平,0,Bitter,苦,1,Stomach|Spleen|Liver,胃|脾|肝,3,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP01362,荷梗,Neutral,平,0,Bitter,苦,1,Spleen|Bladder,脾|膀胱,2,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP01361,荷蒂,Neutral,平,0,Bitter,苦,1,,,0,N,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP01365,荷叶蒂,Neutral,平,0,Bitter,苦,1,,,0,N,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP03057,藕蔤,Neutral,平,0,Sweet,甘,1,Heart,心,1,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP03056,藕节,Neutral,平,0,Sweet|Astringent,甘|澀,2,Stomach|Lung|Liver,胃|肺|肝,3,Y,D7_CHP_Medicinal_properties.tsv
연꽃,extra,CHP03055,藕粉,Neutral,平,0,Sweet|Salty,甘|鹹,2,Spleen|Liver|Kidney,脾|肝|腎,3,Y,D7_CHP_Medicinal_properties.tsv
우엉,primary,CHP02983,牛蒡根,Cool,涼,-1,Sweet|Bitter,甘|苦,2,Lung|Heart,肺|心,2,Y,D7_CHP_Medicinal_properties.tsv
우엉,extra,CHP02985,牛蒡子,Cold,寒,-2,Pungent|Bitter,辛|苦,2,Stomach|Lung,胃|肺,2,Y,D7_CHP_Medicinal_properties.tsv
우엉,extra,CHP02982,牛蒡,Cold,寒,-2,Pungent|Bitter,辛|苦,2,Stomach|Lung|Heart,胃|肺|心,3,Y,D7_CHP_Medicinal_properties.tsv
우엉,extra,CHP02984,牛蒡茎叶,Cool,涼,-1,Sweet|Bitter,甘|苦,2,Lung|Liver|Heart,肺|肝|心,3,Y,D7_CHP_Medicinal_properties.tsv
월계수,extra,CHP05320,月桂叶,Warm,溫,1,Pungent,辛,1,,,0,N,D7_CHP_Medicinal_properties.tsv
월계수,extra,CHP05321,月桂子,Warm,溫,1,Pungent,辛,1,Lung,肺,1,Y,D7_CHP_Medicinal_properties.tsv
칡,primary,CHP01185,葛根,Cool,涼,-1,Sweet|Pungent,甘|辛,2,Stomach|Spleen,胃|脾,2,Y,D7_CHP_Medicinal_properties.tsv
칡,extra,CHP01187,葛花,Cool,涼,-1,Sweet,甘,1,Stomach|Spleen,胃|脾,2,Y,D7_CHP_Medicinal_properties.tsv
팔각,primary,CHP00030,八角茴香,Warm,溫,1,Sweet|Pungent,甘|辛,2,Stomach|Spleen|Liver|Kidney,胃|脾|肝|腎,4,Y,D7_CHP_Medicinal_properties.tsv
회향,primary,CHP01757,茴香,Warm,溫,1,Pungent,辛,1,Stomach|Liver|Kidney|Bladder,胃|肝|腎|膀胱,4,Y,D7_CHP_Medicinal_properties.tsv
